,mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,time,player,capped
52,3,3,11,11,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,2,50,D3,3,35,0.0,3,False
53,3,3,11,11,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,5,59,B3,3,35,0.0,7,False
54,3,3,11,11,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,,2,62,D4,4,30,0.0,2,False
55,3,3,45/4,45/4,0.75,13/16,13/16,4/4,1,1,3/16,1/8,3/2,,5,59,B3,3,31,0.0,7,False
56,4,4,12,12,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,45,0.0,8,False
57,4,4,12,12,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,45,0.0,0,False
58,4,4,12,12,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,1,67,G4,4,36,0.0,3,False
59,4,4,12,12,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,0,72,C5,5,36,0.0,2,False
60,4,4,51/4,51/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,4,64,E4,4,37,0.0,1,False
61,4,4,51/4,51/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,37,0.0,3,False
62,4,4,13,13,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,46,0.0,3,False
63,4,4,13,13,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,46,0.0,4,False
64,4,4,13,13,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,4,64,E4,4,38,0.0,1,False
65,4,4,13,13,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,1,67,G4,4,38,0.0,3,False
66,4,4,27/2,27/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,0,60,C4,4,39,0.0,0,False
67,4,4,27/2,27/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,4,64,E4,4,39,0.0,1,False
68,4,4,14,14,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,48,C3,3,47,0.0,3,False
69,4,4,14,14,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,3,57,A3,3,47,0.0,7,False
70,4,4,57/4,57/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,3,69,A4,4,40,0.0,3,False
71,4,4,59/4,59/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,1,5,71,B4,4,41,0.0,0,False
72,4,4,15,15,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,48,0.0,7,False
73,4,4,15,15,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,4,52,E3,3,48,0.0,8,False
74,4,4,15,15,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,-1,5,71,B4,4,42,0.0,0,False
75,4,4,61/4,61/4,0.25,13/16,13/16,4/4,1,1,1/16,1/16,1,,10,70,A#4,4,43,0.0,5,False
76,4,4,31/2,31/2,0.5,7/8,7/8,4/4,1,1,1/8,1/8,1,,3,69,A4,4,44,0.0,3,False
77,5,5,16,16,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,60,0.0,8,False
78,5,5,16,16,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,60,0.0,0,False
79,5,5,16,16,0.3333333333333333,0,0,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,49,0.0,3,False
80,5,5,49/3,49/3,0.3333333333333333,1/12,1/12,4/4,1,1,1/12,1/8,2/3,,4,64,E4,4,50,0.0,1,False
81,5,5,50/3,50/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,51,0.0,3,False
82,5,5,17,17,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,61,0.0,3,False
83,5,5,17,17,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,61,0.0,4,False
84,5,5,17,17,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,,3,69,A4,4,52,0.0,3,False
85,5,5,35/2,35/2,0.25,3/8,3/8,4/4,1,1,1/16,1/16,1,,-1,65,F4,4,53,0.0,0,False
86,5,5,71/4,71/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,54,0.0,3,False
87,5,5,18,18,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,4,52,E3,3,62,0.0,8,False
88,5,5,18,18,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,60,C4,4,62,0.0,0,False
89,5,5,18,18,0.25,1/2,1/2,4/4,1,1,1/16,1/16,1,-1,1,67,G4,4,55,0.0,3,False
90,5,5,73/4,73/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,4,64,E4,4,56,0.0,1,False
91,5,5,75/4,75/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,60,C4,4,57,0.0,0,False
92,5,5,19,19,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,2,50,D3,3,63,0.0,3,False
93,5,5,19,19,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,5,59,B3,3,63,0.0,7,False
